code_barre;nom;description_f;mark;type_article;price;quantite_current;unite;vat;id_family;id_supplier
MWVZVK30016 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;1025,00;pces;21,00;19;11
MWVZVK30025 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;280,00;pces;21,00;19;11
MWVZVK35016 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;486,00;pces;21,00;19;11
MWVZVK35020 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;179,00;pces;21,00;19;11
MWVZVK35025 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;241,00;pces;21,00;19;11
MWVZVK35030 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;268,00;pces;21,00;19;11
MWVZVK35040 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;546,00;pces;21,00;19;11
MWVZVK35050 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;108,00;pces;21,00;19;11
MWVZVK40016 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;226,00;pces;21,00;19;11
MWVZVK40025 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;397,00;pces;21,00;19;11
MWVZVK40035 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;667,00;pces;21,00;19;11
MWVZVK40040 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;303,00;pces;21,00;19;11
MWVZVK40045 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;340,00;pces;21,00;19;11
MWVZVK40050 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;140,00;pces;21,00;19;11
MWVZVK45020 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;225,00;pces;21,00;19;11
MWVZVK45025 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;154,00;pces;21,00;19;11
MWVZVK45030 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;297,00;pces;21,00;19;11
MWVZVK45035 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;504,00;pces;21,00;19;11
MWVZVK45040 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;343,00;pces;21,00;19;11
MWVZVK45045 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;435,00;pces;21,00;19;11
MWVZVK45050 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;55,00;pces;21,00;19;11
MWVZVK 45070 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;374,00;pces;21,00;19;11
MWVZVK45080 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;166,00;pces;21,00;19;11
MWVZVK50020 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;159,00;pces;21,00;19;11
MWVZVK50030 GZ;VIS A PANNEAUX;;FASTENERS;ACIER;;369,00;pces;21,00;19;11
